No. of Trees,LR,Subsample,%features,Default Weight,AUC Train,AUC Test1,AUC Test2,,Average,Std Dev
300,0.1,0.8,1,1,0.957044159,0.931342344,0.942403852,,0.943596785,0.012892368
300,0.1,0.5,1,1,0.956363173,0.931137078,0.941913038,,0.943137763,0.012657564
300,0.1,0.8,1,5,0.956152927,0.930986727,0.942075854,,0.943071836,0.012612628
300,0.1,0.8,0.5,1,0.955655162,0.931422961,0.942550179,,0.943209434,0.012129545
300,0.1,0.5,1,5,0.955540672,0.930382909,0.941379183,,0.942434255,0.012612024
300,0.1,0.8,1,10,0.955251362,0.930572738,0.940789228,,0.942204443,0.01240003
300,0.1,0.5,0.5,1,0.954736523,0.930973823,0.942026006,,0.942578784,0.01189099
300,0.1,0.8,0.5,5,0.954722048,0.931295659,0.941946609,,0.942654772,0.011729239
300,0.1,0.5,1,10,0.954203813,0.929495297,0.940105478,,0.941268196,0.012395226
300,0.1,0.8,0.5,10,0.954009819,0.930402152,0.94151174,,0.94197457,0.011810637
300,0.1,0.5,0.5,5,0.953660697,0.930310357,0.941131977,,0.94170101,0.011685566
300,0.1,0.5,0.5,10,0.95257591,0.92994801,0.940280921,,0.940934947,0.011328119
100,0.1,0.8,1,1,0.94651159,0.930379212,0.942007788,,0.939632863,0.008324278
100,0.1,0.8,1,5,0.946330415,0.930359821,0.941940876,,0.939543704,0.008250745
100,0.1,0.8,0.5,1,0.946158462,0.930671775,0.942086,,0.939638746,0.008028148
100,0.1,0.5,1,1,0.945977235,0.930606871,0.941940821,,0.939508309,0.00796868
100,0.1,0.8,1,10,0.9458784,0.930124166,0.941050399,,0.939017655,0.008071432
100,0.1,0.8,0.5,5,0.945833063,0.930690613,0.941457948,,0.939327208,0.007792848
100,0.1,0.5,1,5,0.945525206,0.930556635,0.94149084,,0.939190894,0.007744795
100,0.1,0.5,0.5,1,0.945315237,0.930286088,0.941788762,,0.939130029,0.00785942
100,0.1,0.8,0.5,10,0.945170807,0.930006865,0.94145783,,0.938878501,0.007904175
100,0.1,0.5,1,10,0.944858337,0.929595942,0.940824526,,0.938426268,0.007908787
100,0.1,0.5,0.5,5,0.944601367,0.929998995,0.941246363,,0.938615575,0.007648405
100,0.1,0.5,0.5,10,0.944178904,0.929702268,0.940896576,,0.938259249,0.007590116
50,0.1,0.8,0.5,1,0.941008203,0.927601255,0.939589739,,0.936066399,0.007365257
50,0.1,0.8,1,1,0.940900713,0.927156631,0.939060922,,0.935706089,0.007460974
50,0.1,0.8,1,5,0.940707777,0.927313085,0.939147159,,0.935722674,0.0073246
50,0.1,0.5,1,1,0.940618191,0.927506933,0.93933025,,0.935818458,0.007226741
50,0.1,0.5,0.5,1,0.940491965,0.92765185,0.939634034,,0.93592595,0.007178409
50,0.1,0.8,0.5,5,0.940326777,0.92767236,0.93888284,,0.935627326,0.006926929
50,0.1,0.5,1,5,0.940221779,0.927837742,0.939149649,,0.93573639,0.006861403
50,0.1,0.8,1,10,0.940090088,0.926820394,0.938184618,,0.9350317,0.007174738
50,0.1,0.5,0.5,5,0.939842738,0.927419701,0.939018784,,0.935427074,0.006946816
50,0.1,0.8,0.5,10,0.939718675,0.927005407,0.938825529,,0.935183204,0.007096245
50,0.1,0.5,1,10,0.939453007,0.926521805,0.938085705,,0.934686839,0.007104098
50,0.1,0.5,0.5,10,0.939259357,0.927038954,0.93860378,,0.934967364,0.006874024
300,0.01,0.8,0.5,1,0.938017057,0.925614489,0.937635123,,0.933755556,0.007052957
300,0.01,0.5,0.5,1,0.937780474,0.925793314,0.937898373,,0.933824054,0.006955074
300,0.01,0.8,1,1,0.937333875,0.924057001,0.936830679,,0.932740518,0.007524354
300,0.01,0.5,1,1,0.937306644,0.924610275,0.937254299,,0.933057073,0.007315188
300,0.01,0.8,0.5,5,0.936691743,0.924725158,0.936560468,,0.932659123,0.006871329
300,0.01,0.5,0.5,5,0.936505938,0.924807837,0.93653174,,0.932615172,0.006761362
300,0.01,0.8,1,5,0.93635179,0.923968204,0.935508419,,0.931942804,0.006919068
300,0.01,0.5,1,5,0.93628037,0.924232552,0.935848693,,0.932120538,0.006834606
300,0.01,0.8,0.5,10,0.935503127,0.923727354,0.935300516,,0.931510332,0.006741018
300,0.01,0.5,0.5,10,0.935276711,0.923664033,0.935282822,,0.931407855,0.006706348
300,0.01,0.8,1,10,0.934789342,0.922538591,0.934246175,,0.930524703,0.006921506
300,0.01,0.5,1,10,0.934738929,0.922754719,0.934446329,,0.930646659,0.006836186
100,0.01,0.8,0.5,1,0.932365771,0.920200668,0.933334463,,0.928633634,0.007319206
100,0.01,0.5,0.5,1,0.932314763,0.920465878,0.933602188,,0.928794276,0.007241273
50,0.01,0.5,0.5,1,0.930578274,0.918653269,0.932049556,,0.9270937,0.007346552
50,0.01,0.8,0.5,1,0.930496685,0.91824625,0.931872125,,0.926871687,0.007501438
100,0.01,0.8,0.5,5,0.930309256,0.918698361,0.930563614,,0.926523744,0.006778173
100,0.01,0.5,0.5,5,0.930106243,0.918721603,0.930494492,,0.926440779,0.006687821
100,0.01,0.5,1,1,0.92951765,0.916864334,0.931616939,,0.925999641,0.007980735
100,0.01,0.8,1,1,0.928966171,0.915970516,0.930560869,,0.925165852,0.008003213
100,0.01,0.5,0.5,10,0.928388159,0.917018722,0.928500739,,0.924635873,0.006596887
100,0.01,0.8,0.5,10,0.928374333,0.916837994,0.928711268,,0.924641198,0.006759873
50,0.01,0.8,0.5,5,0.928233691,0.916531616,0.9286734,,0.924479569,0.00688664
50,0.01,0.5,0.5,5,0.928085528,0.916619779,0.928584475,,0.924429927,0.006768386
100,0.01,0.5,1,5,0.926815928,0.915045484,0.92841448,,0.923425297,0.007301013
100,0.01,0.8,1,5,0.926646308,0.914686531,0.928006968,,0.923113269,0.007329412
50,0.01,0.8,0.5,10,0.926189807,0.914541617,0.926403094,,0.922378173,0.006787494
50,0.01,0.5,0.5,10,0.926039077,0.91461688,0.925915979,,0.922190645,0.006559362
50,0.01,0.5,1,1,0.925662139,0.912497597,0.929064928,,0.922408221,0.008749863
50,0.01,0.8,1,1,0.924914885,0.911633508,0.927917861,,0.921488751,0.008665958
100,0.01,0.5,1,10,0.924510145,0.913030402,0.926732484,,0.921424344,0.007353801
100,0.01,0.8,1,10,0.924283391,0.912669491,0.926549692,,0.921167525,0.007446238
50,0.01,0.5,1,5,0.923630269,0.911913756,0.926199675,,0.920581233,0.007615401
50,0.01,0.8,1,5,0.923177476,0.91110297,0.925695373,,0.91999194,0.007800339
50,0.01,0.5,1,10,0.920367046,0.908875869,0.923785572,,0.917676162,0.007810599
50,0.01,0.8,1,10,0.920068036,0.908553083,0.923527486,,0.917382868,0.007840012